Time,Avg Voltage,Avg PF,Avg Current,Total Active power,Total Reactive power,Total Apparent power,THD Voltage L1,THD Voltage L2,THD Voltage L3,THD Current L1,THD Current L2,THD Current L3,Import MWh,Import MVAh
23:35,12826.75,0,0,0,0,0,0,2.06,1.17,0,0,0,111.79,113.96
23:20,12822.55,0,0,0,0,0,0,1.62,1.75,0,0,0,111.79,113.96
23:05,12730.95,0,0,0,0,0,0,1.47,1.61,0,0,0,111.79,113.96
22:50,12628.45,0.98,5.92,217800,40500,225000,0,2.22,0.78,0,0,0,111.77,113.94
22:35,12527.05,0.99,3.5,116100,18000,131400,0,2.2,2.28,0,0,0,111.72,113.9
22:20,12568.9,0.98,3.85,256500,53100,144900,0,2.04,1.91,0,0,0,111.68,113.85
22:05,12276,0,0,0,0,0,0,1.78,1.29,0,0,0,111.64,113.81
21:51,12577.9,0,0,0,0,0,0,1.77,2.1,0,0,0,111.6,113.78
21:36,12586.8,0,0,0,0,0,0,2.73,2.15,0,0,0,111.57,113.74
21:21,12560.35,0,0,0,0,0,0,2.52,2.29,0,0,0,111.55,113.72
21:06,12598.25,0.98,5.49,223200,36000,209700,0,2.36,1.84,0,0,0,111.54,113.71
20:51,12815.65,0.98,6.26,229500,45000,243900,0,2.25,2.61,0,0,0,111.5,113.67
20:36,12852.15,0,0,0,0,0,0,2.48,1.95,0,0,0,111.45,113.62
20:21,12902.55,0.97,11.69,443700,104400,461700,0,2.68,1.22,15.95,15.81,14.34,111.42,113.59
20:06,12968.1,0,0,0,0,0,0,3.17,1.84,0,0,0,111.39,113.56
19:51,12847.65,0,0,0,0,0,0,2.65,1.79,0,0,0,111.38,113.55
19:36,12738.75,0.98,4.85,201600,38700,216000,0,2.74,1.45,0,0,0,111.33,113.5
19:21,12733.05,0.98,7.13,266400,54000,278100,0,1.86,1.96,0,0,0,111.29,113.46
19:06,12667.3,0.98,5.91,215100,38700,226800,0,2.18,1.95,0,0,0,111.24,113.4
18:51,12949.6,0.98,6.04,225900,43200,236700,0,1.84,1.82,0,0,0,111.22,113.38
18:36,12917.8,0.99,3.56,114300,16200,126900,0,2.5,1.22,0,0,0,111.17,113.33
18:06,12524.7,0.98,6.54,230400,45900,243900,0,2.85,2.25,0,0,0,111.07,113.24
17:51,12514.35,0.98,7.04,244800,49500,261000,0,2.37,2.82,0,0,0,111.02,113.19
17:36,12606.65,0.98,7.03,247500,49500,262800,0,2.55,2.41,0,0,0,110.99,113.15
17:21,12650.75,0.98,8.44,303300,66600,318600,0,2.21,2.57,0,0,0,110.95,113.11
16:51,12600.6,0,0,0,0,0,0,2.56,1.92,0,0,0,110.89,113.05
16:36,12775.8,0,0,0,0,0,0,2.02,1.6,0,0,0,110.86,113.02
16:21,12776.55,0.98,6.1,219600,40500,233100,0,1.99,0.74,0,0,0,110.84,113
16:06,12912.4,0,0,0,0,0,0,1.17,1.02,0,0,0,110.81,112.97
15:51,13084.8,0,0,0,0,0,0,2.06,0.85,0,0,0,110.81,112.97
15:36,12715.85,0,0,0,0,0,0,1.76,1.53,0,0,0,110.81,112.97
15:06,12472.65,0,0,0,0,0,0,2.53,1.27,0,0,0,110.81,112.97
14:51,12453.4,0,0,0,0,0,0,0.95,2.03,0,0,0,110.8,112.96
14:36,12494.6,0.97,9.68,348300,80999.99,360900,0,1.5,0.84,11.7,11.95,11.54,110.76,112.92
14:21,12551.9,0,0,0,0,0,0,2.43,1.56,0,0,0,110.74,112.9
14:06,12655.85,0,0,0,0,0,0,2.72,2.29,0,0,0,110.72,112.87
13:51,12665.9,0.98,8.83,318600,71100,333900,0,2.34,1.98,0,0,0,110.7,112.86
13:36,12702.2,0.97,7.59,338400,79200,354600,0,2.7,2.28,0,0,0,110.67,112.82
13:21,12770.6,0,0,0,0,0,0,3.19,2.98,0,0,0,110.63,112.78
13:06,13008.7,0,0,0,0,0,0,3.15,2.42,0,0,0,110.61,112.76
12:51,12820.85,0.99,2.77,90900,0,107100,0,2.46,2.56,0,0,0,110.59,112.74
12:36,12861.05,0,0,0,0,0,0,1.23,0.9,0,0,0,110.55,112.7
12:21,12666.2,0,0,0,0,0,0,2.47,1.04,0,0,0,110.52,112.67
12:06,12715.8,0.98,5.85,211500,40500,223200,0,2.26,1.98,0,0,0,110.49,112.64
11:51,12781.2,0.98,5.18,195300,34200,202500,0,0.48,1.27,0,0,0,110.45,112.61
11:36,12844.2,0,0,0,0,0,0,1.88,0.91,0,0,0,110.42,112.57
11:21,12757.15,0,0,0,0,0,0,1.28,1.39,0,0,0,110.39,112.54
10:51,12712.4,0,0,0,0,0,0,1.7,1.15,0,0,0,110.33,112.48
10:36,12603.1,0,0,0,0,0,0,1.57,1.01,0,0,0,110.3,112.45
10:21,12740.75,0,0,0,18000,0,0,0.34,1.32,0,0,0,110.27,112.42
10:06,12679.5,0.99,3.69,135900,19800,144900,0,0.91,1.77,0,0,0,110.24,112.38
09:51,12560.3,0.98,7.08,260100,52200,270900,0,1.44,1.29,0,0,0,110.2,112.35
09:36,12389.85,0.98,6.47,235800,45000,243000,0,0.59,1.25,0,0,0,110.17,112.31
09:21,12406.2,0,0,0,0,0,0,0.6,1.84,0,0,0,110.13,112.27
09:06,12284.45,0,0,0,0,0,0,0.9,1.64,0,0,0,110.1,112.24
08:51,12223.85,0.98,6.39,225000,41400,234000,0,1.53,1.73,0,0,0,110.06,112.2
08:36,12305.55,1,0.84,76500,0,87300,0,2.13,1.29,0,0,0,110.02,112.17
08:21,12328,0,0,0,0,0,0,1.43,1.55,0,0,0,109.99,112.13
08:06,12414.25,0,0,0,0,0,0,1.81,1.69,0,0,0,109.94,112.08
07:51,12506.75,0,0,0,0,0,0,0.18,1.57,0,0,0,109.9,112.04
07:36,12469.6,0,0,0,0,0,0,2.46,2.01,0,0,0,109.86,112
07:21,12231.35,0,0,0,0,0,0,2.16,1.51,0,0,0,109.85,111.99
07:06,12399,0,0,0,0,0,0,2.76,1.91,0,0,0,109.85,111.99
06:51,12707.25,0,0,0,0,0,0,2.43,1.63,0,0,0,109.85,111.99
06:36,12714.35,0,0,0,0,0,0,2.45,1.29,0,0,0,109.85,111.99
06:06,12990.1,0,0,0,0,0,0,1.32,1.85,0,0,0,109.85,111.99
05:52,12687.2,0,0,0,0,0,0,1.4,1.34,0,0,0,109.85,111.99
05:37,12813.75,0,0,0,0,0,0,1.3,1.25,0,0,0,109.85,111.99
05:22,12839.05,0,0,0,0,0,0,1.84,1.61,0,0,0,109.85,111.99
05:07,12835.95,0,0,0,0,0,0,1.14,1.73,0,0,0,109.85,111.99
04:52,12891.15,0,0,0,0,0,0,1.78,1.49,0,0,0,109.85,111.99
04:37,12901.2,0,0,0,0,0,0,1.57,1.74,0,0,0,109.85,111.99
04:22,12974.2,0,0,0,0,0,0,0.91,1.64,0,0,0,109.85,111.99
04:07,12954.1,0,0,0,0,0,0,2.09,1.84,0,0,0,109.85,111.99
03:52,13030.85,0,0,0,0,0,0,1.18,1.14,0,0,0,109.85,111.99
03:37,13040.85,0,0,0,0,0,0,1.87,1.19,0,0,0,109.85,111.99
03:22,13331.25,0,0,0,0,0,0,1.26,1.55,0,0,0,109.85,111.99
03:07,13294.75,0,0,0,0,0,0,1.89,1.53,0,0,0,109.85,111.99
02:52,13283.7,0,0,0,0,0,0,2.33,1.31,0,0,0,109.85,111.99
02:37,13258.75,0,0,0,0,0,0,1,1.91,0,0,0,109.85,111.99
02:22,13266.95,0,0,0,0,0,0,2.1,0.52,0,0,0,109.85,111.99
02:07,12887.75,0,0,0,0,0,0,2.45,2.32,0,0,0,109.85,111.99
01:52,13188.95,0,0,0,0,0,0,2.06,2.11,0,0,0,109.85,111.99
01:37,13054.65,0,0,0,0,0,0,2.78,1.17,0,0,0,109.85,111.99
01:22,13187.5,0,0,0,0,0,0,2.25,1.86,0,0,0,109.85,111.99
01:07,13047.5,0,0,0,0,0,0,2.29,1.54,0,0,0,109.85,111.99
00:52,13065.75,0,0,0,0,0,0,1.95,1.12,0,0,0,109.85,111.99
00:37,13056.7,0,0,0,0,0,0,2.22,1.6,0,0,0,109.85,111.99
00:22,13093.9,0,0,0,0,0,0,1.7,0.92,0,0,0,109.85,111.99
00:07,13099,0,0,0,0,0,0,1.68,1.45,0,0,0,109.85,111.99
